text,label
http://instagram-billing-issue-mwufxb.site/login?session=HNsG9eh6Yo4gfqrc&redirect=home,phishing
http://fnb-support-center-3lk.biz/reset,phishing
http://apple.com,safe
https://verify-paypal-account-i7waa.info/signin?session=gLj2olXCwYjn5zYI&redirect=home,phishing
https://capitecbank.co.za/contact,safe
http://account.capitec-account-update-n0i.site/auth,phishing
https://fnb.co.za/about,safe
http://amazon-secure-login-ns6pu.biz/login,phishing
http://secure-capitec-signin-l1vfz3.live/secure?session=ibjL5DZPjN0MEQ7w&redirect=home,phishing
http://google.com/products,safe
http://apple-security-alert-nefj.com/secure,phishing
http://fnb.co.za/news,safe
https://microsoft.com/login,safe
http://microsoft.com/products,safe
https://wikipedia.org/docs,safe
https://standardbank.co.za/login,safe
http://login.paypal-billing-issue-ric7ph.click/signin,phishing
http://wikipedia.org/contact,safe
https://tut.ac.za/help,safe
http://fedex-support-center-xo5.icu/login,phishing
https://capitecbank.co.za/contact,safe
https://fnb.co.za,safe
https://microsoft-secure-login-jpuu3.site/verify?session=zWkpAePcEJIukB4g&redirect=home,phishing
https://apple.com,safe
https://tut.ac.za/login,safe
http://verify-ups-account-1rdrg.xyz/payment/update,phishing
http://verify-amazon-account-mme.site/auth,phishing
http://apple-account-update-4ud.online/verify,phishing
http://micros0ft-support-center.top/login,phishing
http://fedex-confirm-identity-tj0wyu.top/reset,phishing
https://standardbank.co.za/login,safe
http://secure.dhl-billing-issue-ctnw.click/auth?session=PmpGXafq0fjzLczb&redirect=account,phishing
http://fnb-confirm-identity-lz6h.com/payment/update?session=ryzdaeA6AOSRwLqg&redirect=home,phishing
http://netflix-account-update-ad9j.co/verify?session=7xVGkjwskHk7egyF&redirect=home,phishing
http://amazon-support-center-6umx1b.net/validate?session=Ufd7UACNWiP3sFd6&redirect=billing,phishing
https://microsoft.com/login,safe
https://dhl-billing-issue-wo88.net/update,phishing
http://apple.com/news,safe
http://standardbank-support-center-2i0h.live/payment/update?session=enQtYh5Xj8TPQxjq&redirect=home,phishing
https://amazon.com/products,safe
http://amazon.com/support,safe
http://secure-capitec-signin-zom7.icu/login,phishing
http://microsoft-secure-login-d5rgn5.biz/auth?session=Xh5Jmtf7EbsDe0G9&redirect=account,phishing
http://openai.com/help,safe
http://google-security-alert-9t0tp1.live/validate?session=baNFDpCWNX0D1lZE&redirect=account,phishing
https://fnb.co.za/login,safe
http://wikipedia.org/docs,safe
http://linkedin.com/docs,safe
http://secure.secure-apple-signin-7jy.net/signin,phishing
http://gov.za,safe
http://facebook-confirm-identity-6i8j76.xyz/account/verify?session=ZjljENUhJduRHHJE&redirect=home,phishing
https://login.netflix-support-center-jgv.com/login?session=8HxjSI6bWHtP3fS2&redirect=account,phishing
http://openai.com/account,safe
http://github.com/support,safe
http://apple-security-alert-z3nk.click/payment/update?session=PJUo09jwQO10Y0AD&redirect=account,phishing
https://www.paypal.com/signin,safe
https://paypal-billing-issue-7j29u.click/signin?session=ivDP4SpGmrtWT01N&redirect=home,phishing
http://account.secure-dhl-signin-26lrw.net/login?session=GJmGEp7CgQ0PBQFI&redirect=account,phishing
http://secure.secure-absa-signin-43y.net/secure,phishing
https://linkedin.com,safe
http://amazon.com/login,safe
https://microsoft.com/,safe
https://absa.co.za/account,safe
https://apple.com/help,safe
http://netflix-security-alert-bic14.online/confirm,phishing
http://amazon-security-alert-t1fd4.info/update?session=V5EbOApZOXzcycDe&redirect=home,phishing
https://www.dhl-secure-login-8p5.biz/validate,phishing
http://account.instagram-billing-issue-6wn5h.site/account/verify,phishing
https://tut.ac.za/news,safe
https://tut.ac.za/support,safe
http://instagram-billing-issue-mas6en.icu/update?session=oqW4sg8NFNl5oFA6&redirect=billing,phishing
http://absa-billing-issue-coj.biz/confirm?session=5diFoNPcbdaKwtgH&redirect=account,phishing
http://microsoft-account-update-0vstqq.live/auth?session=zhkPkenG5ZFJoC6v&redirect=account,phishing
https://gov.za/news,safe
http://google-account-update-ml73c.biz/reset,phishing
https://paypal-account-update-ctiq.support/verify?session=tH8LmyqoYMaaItDr&redirect=account,phishing
https://linkedin.com/support,safe
http://login.fedex-billing-issue-gzzf1.co/signin?session=IGky4Oo8DiIMWSWM&redirect=billing,phishing
http://amazon-secure-login-y07nyr.site/signin?session=xiRGHOY32nfr5pyz&redirect=billing,phishing
http://secure.paypal-account-update-dnbj0d.com/reset,phishing
https://gov.za/login,safe
http://verify-paypal-account-mi5.biz/payment/update,phishing
http://ups-confirm-identity-pkacd8.xyz/secure?session=XgaNJQ8mjAmHMPGP&redirect=billing,phishing
https://github.com/support,safe
https://capitec-confirm-identity-e0gz9j.co/secure?session=rAsQtA9dtVK4wAAb&redirect=account,phishing
http://secure.verify-apple-account-g052.click/account/verify,phishing
http://netflix-account-update-afr.top/validate,phishing
http://wikipedia.org/docs,safe
http://fnb-secure-login-917qs.co/verify,phishing
http://capitecbank.co.za/support,safe
http://dhl-support-center-ovmi.live/secure?session=OV4qBkdfQ1y3GQsM&redirect=home,phishing
https://microsoft.com/products,safe
http://fedex-confirm-identity-ga4.info/login,phishing
https://fedex-secure-login-cex.info/payment/update?session=3W6T8ygpnnhcc826&redirect=billing,phishing
https://fedex-account-update-616.click/account/verify,phishing
https://login.microsoftonline.com,safe
https://google.com/news,safe
http://google.com/help,safe
http://support.facebook-confirm-identity-5l5.online/account/verify,phishing
https://microsoft.com/contact,safe
http://login.fnb-account-update-u7wk.info/verify?session=QgmyjjYtUtBrmgO6&redirect=home,phishing
https://amazon.com/products,safe
https://wikipedia.org/contact,safe
http://www.capitec-secure-login-wnc.site/signin?session=UP6n0a0uARxlNten&redirect=home,phishing
https://secure.ups-account-update-zm4l.online/secure?session=hjpU05mc4J1WRcQ1&redirect=account,phishing
